Loc,Initial,Germ,SurvWk11,Pods,NumPods,NumSeeds,Herbivory,Mat,MatL,MatDam,MatSire,Pat,PatL,PatDam,PatSire,Block,EarliestGerm,EarliestFlowPod
4.1.9,5,0,0,0,0,0,0,13B2,13B,P63B,Y123G,5A4,5A,P29D,P63G,4,NA,NA
4.2.1,5,0,0,0,0,0,0,7B1,7B,P64F,P29H,11D1,11D,140C,122C,4,NA,NA
4.2.10,5,0,0,0,0,0,0,8B1,8B,P31M,P63A,19D1,19D,B113A,R84A,4,NA,NA
4.2.11,5,0,0,0,0,0,0,20A3,20A,P83B,P62I,2A5,2A,P64B,B88B,4,NA,NA
4.2.12,5,0,0,0,0,0,0,13C2,13C,331B,357B,8A2,8A,330A,139A,4,NA,NA
4.2.13,5,0,0,0,0,0,0,16C1,16C,331A,32A,2A2,2A,P64B,B88B,4,NA,NA
4.2.14,5,0,0,0,0,0,0,14B2,14B,P83I,P29I,13E2,13E,R82K,Y123G,4,NA,NA
4.2.15,5,0,0,0,0,0,0,8B1,8B,P31M,P63A,20E2,20E,R88B,B86B,4,NA,NA
4.2.16,5,0,0,0,0,0,0,13C1,13C,331B,357B,21B3,21B,P62B,R85A,4,NA,NA
4.2.17,3,0,0,0,0,0,0,1B2,1B,14C,122C,19D1,19D,B113A,R84A,4,NA,NA
4.2.18,5,0,0,0,0,0,0,13C2,13C,331B,357B,8A1,8A,330A,139A,4,NA,NA
4.2.19,5,0,0,0,0,0,0,20A3,20A,P83B,P62I,2A4,2A,P64B,B88B,4,NA,NA
4.2.2,5,0,0,0,0,0,0,20A3,20A,P83B,P62I,16D4,16D,337A,120B,4,NA,NA
4.2.20,5,0,0,0,0,0,0,20A3,20A,P83B,P62I,16D2,16D,337A,120B,4,NA,NA
4.2.21,5,1,1,1,1,0,0,20E2,20E,R88B,B86B,8B2,8B,P31M,P63A,4,177,NA
4.2.22,5,1,1,0,0,0,0,8B1,8B,P31M,P63A,19D4,19D,B113A,R84A,4,NA,NA
4.2.23,5,0,0,0,0,0,0,20E2,20E,R88B,B86B,10B3,10B,P38D,R81E,4,NA,NA
4.2.24,5,0,0,0,0,0,0,20A3,20A,P83B,P62I,2A5,2A,P64B,B88B,4,NA,NA
4.2.25,5,0,0,0,0,0,0,13E1,13E,R82K,Y123G,14B1,14B,P83I,P29I,4,NA,NA
4.2.26,5,1,1,0,0,0,0,2A5,2A,P64B,B88B,20A3,20A,P83B,P62I,4,177,NA
4.2.27,5,1,1,1,2,8,0,11C2,11C,R880,B45H,13B6,13B,P63B,Y123G,4,160,217
4.2.28,5,1,0,0,0,0,0,7E1,7E,130C,129B,18B2,18B,P62H,P71A,4,177,NA
4.2.29,5,0,0,0,0,0,0,16E1,16E,136A,356A,5D1,5D,B88A,B110E,4,NA,NA
4.2.3,5,0,0,0,0,0,0,13C1,13C,331B,357B,8A1,8A,330A,139A,4,NA,NA
4.2.30,5,1,1,1,2,4,0,1B2,1B,14C,122C,13A2,13A,P71D,P29I,4,194,NA
4.2.31,5,0,0,0,0,0,0,1D1,1D,P31C,P63A,9D3,9D,P38C,R80H,4,NA,NA
4.2.32,5,0,0,0,0,0,0,6D5,6D,B22B,P27F,13B6,13B,P63B,Y123G,4,NA,NA
4.2.33,5,0,0,0,0,0,0,21B3,21B,P62B,R85A,13C2,13C,331B,357B,4,NA,NA
4.2.4,5,0,0,0,0,0,0,7E1,7E,130C,129B,1D1,1D,P31C,P63A,4,NA,NA
4.2.5,5,0,0,0,0,0,0,15C1,15C,P100D,B22C,13C2,13C,331B,357B,4,NA,NA
4.2.6,5,0,0,0,0,0,0,20A3,20A,P83B,P62I,13A2,13A,P71D,P29I,4,NA,NA
4.2.7,5,0,0,0,0,0,0,9D3,9D,P38C,R80H,14A1,14A,Y125E,R83F,4,NA,NA
4.2.8,5,0,0,0,0,0,0,9E1,9E,P29J,P29A,9A3,9A,R88G,P63J,4,NA,NA
4.2.9,5,0,0,0,0,0,0,5D2,5D,B88A,B110E,16E1,16E,136A,356A,4,NA,NA
4.3.1,5,1,1,1,15,44,0,13B6,13B,P63B,Y123G,6D1,6D,B22B,P27F,4,131,210
4.3.10,5,0,0,0,0,0,0,13E1,13E,R82K,Y123G,14B2,14B,P83I,P29I,4,NA,NA
4.3.11,5,0,0,0,0,0,0,2A5,2A,P64B,B88B,20A2,20A,P83B,P62I,4,NA,NA
4.3.12,5,0,0,0,0,0,0,14B1,14B,P83I,P29I,13E2,13E,R82K,Y123G,4,NA,NA
4.3.13,5,0,0,0,0,0,0,8B1,8B,P31M,P63A,19D2,19D,B113A,R84A,4,NA,NA
4.3.14,5,0,0,0,0,0,0,16E1,16E,136A,356A,5D3,5D,B88A,B110E,4,NA,NA
4.3.15,5,0,0,0,0,0,0,17D2,17D,Y126C,Y124D,4C2,4C,P29C,R81E,4,NA,NA
4.3.16,5,0,0,0,0,0,0,12C1,12C,R85B,P71A,5D1,5D,B88A,B110E,4,NA,NA
4.3.17,5,0,0,0,0,0,0,11C1,11C,R880,B45H,13B4,13B,P63B,Y123G,4,NA,NA
4.3.18,5,1,1,1,5,12,0,13B6,13B,P63B,Y123G,6D5,6D,B22B,P27F,4,166,217
4.3.19,5,1,1,1,22,138,0,21B2,21B,P62B,R85A,13C2,13C,331B,357B,4,166,217
4.3.2,5,0,0,0,0,0,0,13E2,13E,R82K,Y123G,10C1,10C,P83E,B112F,4,NA,NA
4.3.20,5,0,0,0,0,0,0,15D1,15D,R88H,B22C,7B1,7B,P64F,P29H,4,NA,NA
4.3.21,5,0,0,0,0,0,0,4A1,4A,P29E,B22C,12C1,12C,R85B,P71A,4,NA,NA
4.3.22,5,1,1,1,3,0,0,18C2,18C,P64C,R83F,13E1,13E,R82K,Y123G,4,180,241
4.3.23,5,0,0,0,0,0,0,1B2,1B,14C,122C,20E2,20E,R88B,B86B,4,NA,NA
4.3.24,5,1,0,0,0,0,0,8C1,8C,140B,122B,5A5,5A,P29D,P63G,4,131,NA
4.3.25,5,0,0,0,0,0,0,7B1,7B,P64F,P29H,15D2,15D,R88H,B22C,4,NA,NA
4.3.26,5,0,0,0,0,0,0,16D2,16D,337A,120B,7A1,7A,P64D,B86B,4,NA,NA
4.3.27,5,0,0,0,0,0,0,5D3,5D,B88A,B110E,16E1,16E,136A,356A,4,NA,NA
4.3.28,5,2,1,1,8,12,0,11D1,11D,140C,122C,19C2,19C,B112E,R83F,4,166,210
4.3.29,5,0,0,0,0,0,0,16C1,16C,331A,32A,2A1,2A,P64B,B88B,4,NA,NA
4.3.3,5,0,0,0,0,0,0,14A2,14A,Y125E,R83F,9D2,9D,P38C,R80H,4,NA,NA
4.3.30,5,0,0,0,0,0,0,13E2,13E,R82K,Y123G,14B2,14B,P83I,P29I,4,NA,NA
4.3.31,5,0,0,0,0,0,0,10B1,10B,P38D,R81E,19D4,19D,B113A,R84A,4,NA,NA
4.3.32,5,0,0,0,0,0,0,13E2,13E,R82K,Y123G,18C3,18C,P64C,R83F,4,NA,NA
4.3.4,5,0,0,0,0,0,0,14B2,14B,P83I,P29I,13E1,13E,R82K,Y123G,4,NA,NA
4.3.5,5,0,0,0,0,0,0,16E1,16E,136A,356A,5D2,5D,B88A,B110E,4,NA,NA
4.3.6,5,1,0,0,0,0,0,7B3,7B,P64F,P29H,15D2,15D,R88H,B22C,4,131,NA
4.3.7,5,0,0,0,0,0,0,4C2,4C,P29C,R81E,17D2,17D,Y126C,Y124D,4,NA,NA
4.3.8,5,0,0,0,0,0,0,13C1,13C,331B,357B,21B2,21B,P62B,R85A,4,NA,NA
4.3.9,5,0,0,0,0,0,0,10C1,10C,P83E,B112F,13E1,13E,R82K,Y123G,4,NA,NA
4.4.1,5,0,0,0,0,0,0,12C1,12C,R85B,P71A,5D3,5D,B88A,B110E,4,NA,NA
4.4.10,5,0,0,0,0,0,0,13E2,13E,R82K,Y123G,18C2,18C,P64C,R83F,4,NA,NA
4.4.11,5,0,0,0,0,0,0,1D1,1D,P31C,P63A,7E1,7E,130C,129B,4,NA,NA
4.4.12,5,3,1,1,2,15,0,13B6,13B,P63B,Y123G,2B1,2B,140A,356A,4,162,210
4.4.13,5,1,1,0,0,0,0,5D2,5D,B88A,B110E,12C1,12C,R85B,P71A,4,NA,NA
4.4.14,5,0,0,0,0,0,0,10C1,10C,P83E,B112F,13E1,13E,R82K,Y123G,4,NA,NA
4.4.15,5,1,1,1,7,20,0,13B2,13B,P63B,Y123G,5A2,5A,P29D,P63G,4,162,217
4.4.16,5,0,0,0,0,0,0,20A3,20A,P83B,P62I,16D3,16D,337A,120B,4,NA,NA
4.4.17,5,0,0,0,0,0,0,14B1,14B,P83I,P29I,13E1,13E,R82K,Y123G,4,NA,NA
4.4.18,5,0,0,0,0,0,0,5D3,5D,B88A,B110E,12C1,12C,R85B,P71A,4,NA,NA
4.4.19,5,0,0,0,0,0,0,14A1,14A,Y125E,R83F,7E2,7E,130C,129B,4,NA,NA
4.4.2,5,0,0,0,0,0,0,15C1,15C,P100D,B22C,13C1,13C,331B,357B,4,NA,NA
4.4.20,5,0,0,0,0,0,0,6D5,6D,B22B,P27F,21A1,21A,P63L,B51C,4,NA,NA
4.4.21,5,0,0,0,0,0,0,13E1,13E,R82K,Y123G,18C3,18C,P64C,R83F,4,NA,NA
4.4.22,5,0,0,0,0,0,0,10B1,10B,P38D,R81E,13A2,13A,P71D,P29I,4,NA,NA
4.4.23,5,0,0,0,0,0,0,10B3,10B,P38D,R81E,20E2,20E,R88B,B86B,4,NA,NA
4.4.24,5,0,0,0,0,0,0,8B1,8B,P31M,P63A,13A2,13A,P71D,P29I,4,NA,NA
4.4.25,5,0,0,0,0,0,0,18C3,18C,P64C,R83F,13E1,13E,R82K,Y123G,4,NA,NA
4.4.26,5,0,0,0,0,0,0,16E1,16E,136A,356A,4A1,4A,P29E,B22C,4,NA,NA
4.4.27,5,0,0,0,0,0,0,18B3,18B,P62H,P71A,9D3,9D,P38C,R80H,4,NA,NA
4.4.28,1,0,0,0,0,0,0,16C2,16C,331A,32A,2A2,2A,P64B,B88B,4,NA,NA
4.4.29,5,0,0,0,0,0,0,2A5,2A,P64B,B88B,7A1,7A,P64D,B86B,4,NA,NA
4.4.3,5,0,0,0,0,0,0,7B2,7B,P64F,P29H,11D1,11D,140C,122C,4,NA,NA
4.4.30,5,0,0,0,0,0,0,13E1,13E,R82K,Y123G,10C1,10C,P83E,B112F,4,NA,NA
4.4.31,5,0,0,0,0,0,0,8C1,8C,140B,122B,20A3,20A,P83B,P62I,4,NA,NA
4.4.32,5,0,0,0,0,0,0,12C1,12C,R85B,P71A,5D2,5D,B88A,B110E,4,NA,NA
4.4.4,5,1,1,0,0,0,0,2A5,2A,P64B,B88B,5A6,5A,P29D,P63G,4,162,NA
4.4.5,5,0,0,0,0,0,0,10B1,10B,P38D,R81E,5E1,5E,B86A,P63F,4,NA,NA
4.4.6,5,0,0,0,0,0,0,11C1,11C,R880,B45H,13B6,13B,P63B,Y123G,4,NA,NA
4.4.7,5,2,2,0,0,0,0,18C2,18C,P64C,R83F,13E1,13E,R82K,Y123G,4,162,NA
4.4.8,5,0,0,0,0,0,0,13C2,13C,331B,357B,15C2,15C,P100D,B22C,4,NA,NA
4.4.9,5,0,0,0,0,0,0,15D1,15D,R88H,B22C,7B2,7B,P64F,P29H,4,NA,NA
4.5.1,5,0,0,0,0,0,0,13B5,13B,P63B,Y123G,3D1,3D,P27D,B22C,4,NA,NA
4.5.10,5,0,0,0,0,0,0,8A2,8A,330A,139A,13C2,13C,331B,357B,4,NA,NA
4.5.11,5,0,0,0,0,0,0,21B3,21B,P62B,R85A,13C1,13C,331B,357B,4,NA,NA
4.5.12,5,1,1,0,0,0,0,21B3,21B,P62B,R85A,13C1,13C,331B,357B,4,152,NA
4.5.13,5,0,0,0,0,0,0,13B2,13B,P63B,Y123G,5A1,5A,P29D,P63G,4,NA,NA
4.5.14,5,0,0,0,0,0,0,16C2,16C,331A,32A,2A1,2A,P64B,B88B,4,NA,NA
4.5.15,5,0,0,0,0,0,0,14A2,14A,Y125E,R83F,7E1,7E,130C,129B,4,NA,NA
4.5.16,5,0,0,0,0,0,0,7B3,7B,P64F,P29H,11D1,11D,140C,122C,4,NA,NA
4.5.17,5,2,1,1,10,49,0,1B2,1B,14C,122C,19D4,19D,B113A,R84A,4,173,217
4.5.18,5,0,0,0,0,0,0,18B2,18B,P62H,P71A,7E1,7E,130C,129B,4,NA,NA
4.5.19,5,1,1,1,4,4,0,13C1,13C,331B,357B,15C2,15C,P100D,B22C,4,173,217
4.5.2,5,1,1,1,8,14,0,17D2,17D,Y126C,Y124D,9E1,9E,P29J,P29A,4,173,223
4.5.20,5,0,0,0,0,0,0,10B1,10B,P38D,R81E,20E2,20E,R88B,B86B,4,NA,NA
4.5.21,5,0,0,0,0,0,0,1E1,1E,31A,11A,16C1,16C,331A,32A,4,NA,NA
4.5.3,5,0,0,0,0,0,0,16D2,16D,337A,120B,20A3,20A,P83B,P62I,4,NA,NA
4.5.4,5,1,1,1,1,0,0,8A1,8A,330A,139A,13C2,13C,331B,357B,4,152,NA
4.5.5,5,1,1,1,40,161,0,13C2,13C,331B,357B,21B3,21B,P62B,R85A,4,152,210
4.5.6,5,0,0,0,0,0,0,9A3,9A,R88G,P63J,4C2,4C,P29C,R81E,4,NA,NA
4.5.7,5,0,0,0,0,0,0,7D1,7D,356A,140B,17D2,17D,Y126C,Y124D,4,NA,NA
4.5.8,5,1,1,1,8,26,0,7E1,7E,130C,129B,14A1,14A,Y125E,R83F,4,173,217
4.5.9,5,1,1,1,8,40,0,18B3,18B,P62H,P71A,7E1,7E,130C,129B,4,173,217
5.1.1,5,0,0,0,0,0,0,13E1,13E,R82K,Y123G,14B1,14B,P83I,P29I,5,NA,NA
5.1.10,5,0,0,0,0,0,0,16C1,16C,331A,32A,2A2,2A,P64B,B88B,5,NA,NA
5.1.12,5,1,1,0,0,0,1,16C2,16C,331A,32A,1E1,1E,31A,11A,5,154,NA
5.1.13,5,0,0,0,0,0,0,4C2,4C,P29C,R81E,9A3,9A,R88G,P63J,5,NA,NA
5.1.14,5,5,5,1,17,55,1,13E2,13E,R82K,Y123G,14B2,14B,P83I,P29I,5,154,NA
5.1.15,5,0,0,0,0,0,0,14A2,14A,Y125E,R83F,7E1,7E,130C,129B,5,NA,NA
5.1.16,5,1,1,1,1,7,0,10B1,10B,P38D,R81E,13A2,13A,P71D,P29I,5,154,NA
5.1.17,5,0,0,0,0,0,0,8B1,8B,P31M,P63A,13A2,13A,P71D,P29I,5,NA,NA
5.1.18,5,0,0,0,0,0,0,16C1,16C,331A,32A,2A1,2A,P64B,B88B,5,NA,NA
5.1.19,5,0,0,0,0,0,0,8B1,8B,P31M,P63A,19D4,19D,B113A,R84A,5,NA,NA
5.1.2,5,2,2,1,6,28,0,10B1,10B,P38D,R81E,20E2,20E,R88B,B86B,5,154,217
5.1.3,5,0,0,0,0,0,0,5D3,5D,B88A,B110E,12C1,12C,R85B,P71A,5,NA,NA
5.1.4,5,0,0,0,0,0,0,18B3,18B,P62H,P71A,9D3,9D,P38C,R80H,5,NA,NA
5.1.5,5,0,0,0,0,0,0,13E2,13E,R82K,Y123G,18C3,18C,P64C,R83F,5,NA,NA
5.1.6,5,0,0,0,0,0,0,1B2,1B,14C,122C,19D3,19D,B113A,R84A,5,NA,NA
5.1.7,5,0,0,0,0,0,0,16C2,16C,331A,32A,2A2,2A,P64B,B88B,5,NA,NA
5.1.8,5,0,0,0,0,0,0,10C1,10C,P83E,B112F,13E2,13E,R82K,Y123G,5,NA,NA
5.1.9,5,0,0,0,0,0,0,2A1,2A,P64B,B88B,16C1,16C,331A,32A,5,NA,NA
5.2.1,5,1,1,1,3,14,0,20E2,20E,R88B,B86B,10B3,10B,P38D,R81E,5,180,NA
5.2.10,5,0,0,0,0,0,0,13B2,13B,P63B,Y123G,5A3,5A,P29D,P63G,5,NA,NA
5.2.11,5,0,0,0,0,0,0,18B3,18B,P62H,P71A,7E1,7E,130C,129B,5,NA,NA
5.2.12,5,0,0,0,0,0,0,1B2,1B,14C,122C,19D4,19D,B113A,R84A,5,NA,NA
5.2.13,5,0,0,0,0,0,0,13C2,13C,331B,357B,15C1,15C,P100D,B22C,5,NA,NA
5.2.14,5,0,0,0,0,0,0,21B3,21B,P62B,R85A,13C2,13C,331B,357B,5,NA,NA
5.2.15,5,1,0,0,0,0,0,5D1,5D,B88A,B110E,16E1,16E,136A,356A,5,NA,NA
5.2.16,5,0,0,0,0,0,0,13B6,13B,P63B,Y123G,6D5,6D,B22B,P27F,5,NA,NA
5.2.17,5,0,0,0,0,0,0,20A3,20A,P83B,P62I,2A4,2A,P64B,B88B,5,NA,NA
5.2.18,5,0,0,0,0,0,0,21B2,21B,P62B,R85A,13C2,13C,331B,357B,5,NA,NA
5.2.2,5,0,0,0,0,0,0,21B2,21B,P62B,R85A,13C1,13C,331B,357B,5,NA,NA
5.2.3,5,0,0,0,0,0,0,13E2,13E,R82K,Y123G,18C2,18C,P64C,R83F,5,NA,NA
5.2.4,5,0,0,0,0,0,0,4C2,4C,P29C,R81E,17D2,17D,Y126C,Y124D,5,NA,NA
5.2.5,5,0,0,0,0,0,0,2A1,2A,P64B,B88B,16C2,16C,331A,32A,5,NA,NA
5.2.6,5,0,0,0,0,0,0,13E2,13E,R82K,Y123G,10C1,10C,P83E,B112F,5,NA,NA
5.2.7,5,0,0,0,0,0,0,1B2,1B,14C,122C,20E2,20E,R88B,B86B,5,NA,NA
5.2.8,5,0,0,0,0,0,0,5D2,5D,B88A,B110E,12C1,12C,R85B,P71A,5,NA,NA
5.2.9,5,1,1,1,66,240,0,8C1,8C,140B,122B,7A1,7A,P64D,B86B,5,131,210
5.3.1,5,0,0,0,0,0,0,13C1,13C,331B,357B,8A1,8A,330A,139A,5,NA,NA
5.3.10,5,0,0,0,0,0,0,14A2,14A,Y125E,R83F,7E2,7E,130C,129B,5,NA,NA
5.3.11,5,0,0,0,0,0,0,13C2,13C,331B,357B,21B3,21B,P62B,R85A,5,NA,NA
5.3.12,5,0,0,0,0,0,0,5D3,5D,B88A,B110E,16E1,16E,136A,356A,5,NA,NA
5.3.13,5,1,1,1,6,14,0,9A3,9A,R88G,P63J,4C2,4C,P29C,R81E,5,146,217
5.3.14,5,0,0,0,0,0,0,2A5,2A,P64B,B88B,7A1,7A,P64D,B86B,5,NA,NA
5.3.15,5,0,0,0,0,0,0,5D2,5D,B88A,B110E,16E1,16E,136A,356A,5,NA,NA
5.3.16,5,0,0,0,0,0,0,6D5,6D,B22B,P27F,13B6,13B,P63B,Y123G,5,NA,NA
5.3.17,5,0,0,0,0,0,0,11D1,11D,140C,122C,7B3,7B,P64F,P29H,5,NA,NA
5.3.18,5,0,0,0,0,0,0,14A1,14A,Y125E,R83F,9D3,9D,P38C,R80H,5,NA,NA
5.3.19,5,1,1,0,0,0,0,8A2,8A,330A,139A,13C2,13C,331B,357B,5,146,NA
5.3.2,5,0,0,0,0,0,0,10B3,10B,P38D,R81E,13A2,13A,P71D,P29I,5,NA,NA
5.3.3,5,0,0,0,0,0,0,14A1,14A,Y125E,R83F,7E1,7E,130C,129B,5,NA,NA
5.3.4,5,0,0,0,0,0,0,10B3,10B,P38D,R81E,20E2,20E,R88B,B86B,5,NA,NA
5.3.5,5,1,1,1,3,6,0,13B6,13B,P63B,Y123G,21B1,21B,P62B,R85A,5,NA,NA
5.3.6,5,0,0,0,0,0,0,16E1,16E,136A,356A,5D2,5D,B88A,B110E,5,NA,NA
5.3.7,5,4,1,1,1,1,0,1B2,1B,14C,122C,19D1,19D,B113A,R84A,5,146,NA
5.3.8,5,0,0,0,0,0,0,13E1,13E,R82K,Y123G,14B2,14B,P83I,P29I,5,NA,NA
5.3.9,5,0,0,0,0,0,0,16D2,16D,337A,120B,20A3,20A,P83B,P62I,5,NA,NA
5.4.1,5,0,0,0,0,0,0,21B3,21B,P62B,R85A,13C1,13C,331B,357B,5,NA,NA
5.4.10,5,0,0,0,0,0,0,13C2,13C,331B,357B,15C2,15C,P100D,B22C,5,146,NA
5.4.11,5,1,1,0,0,0,0,1B2,1B,14C,122C,13A2,13A,P71D,P29I,5,NA,NA
5.4.12,5,0,0,0,0,0,0,7B2,7B,P64F,P29H,11D1,11D,140C,122C,5,NA,NA
5.4.13,5,0,0,0,0,0,0,20A3,20A,P83B,P62I,2A5,2A,P64B,B88B,5,NA,NA
5.4.14,5,0,0,0,0,0,0,20A3,20A,P83B,P62I,2A5,2A,P64B,B88B,5,NA,NA
5.4.15,5,0,0,0,0,0,0,16C1,16C,331A,32A,1E1,1E,31A,11A,5,NA,NA
5.4.16,5,0,0,0,0,0,0,13E1,13E,R82K,Y123G,10C1,10C,P83E,B112F,5,NA,NA
5.4.17,5,0,0,0,0,0,0,17D2,17D,Y126C,Y124D,7C2,7C,130A,129B,5,NA,NA
5.4.18,5,0,0,0,0,0,0,20E2,20E,R88B,B86B,1B2,1B,14C,122C,5,NA,NA
5.4.19,5,0,0,0,0,0,0,11C1,11C,R880,B45H,13B6,13B,P63B,Y123G,5,NA,NA
5.4.2,5,0,0,0,0,0,0,13C2,13C,331B,357B,8A1,8A,330A,139A,5,NA,NA
5.4.3,5,0,0,0,0,0,0,8A1,8A,330A,139A,13C2,13C,331B,357B,5,NA,NA
5.4.4,5,0,0,0,0,0,0,17D2,17D,Y126C,Y124D,9E1,9E,P29J,P29A,5,NA,NA
5.4.5,5,0,0,0,0,0,0,13C1,13C,331B,357B,8A2,8A,330A,139A,5,NA,NA
5.4.6,5,0,0,0,0,0,0,13C2,13C,331B,357B,8A2,8A,330A,139A,5,NA,NA
5.4.7,5,0,0,0,0,0,0,16C2,16C,331A,32A,2A1,2A,P64B,B88B,5,NA,NA
5.4.8,4,0,0,0,0,0,0,13E1,13E,R82K,Y123G,18C3,18C,P64C,R83F,5,NA,NA
5.4.9,5,0,0,0,0,0,0,13C1,13C,331B,357B,15C1,15C,P100D,B22C,5,NA,NA
5.5.1,5,0,0,0,0,0,0,16E1,16E,136A,356A,5D1,5D,B88A,B110E,5,NA,NA
5.5.10,5,0,0,0,0,0,0,7E1,7E,130C,129B,1D1,1D,P31C,P63A,5,NA,NA
5.5.11,5,2,2,1,2,1,0,10B1,10B,P38D,R81E,19D2,19D,B113A,R84A,5,173,NA
5.5.12,5,0,0,0,0,0,0,18C3,18C,P64C,R83F,13E1,13E,R82K,Y123G,5,NA,NA
5.5.13,5,1,1,0,0,0,0,11C2,11C,R880,B45H,13B6,13B,P63B,Y123G,5,147,NA
5.5.14,5,1,1,1,3,13,0,8C1,8C,140B,122B,20A3,20A,P83B,P62I,5,173,NA
5.5.15,5,0,0,0,0,0,0,16E1,16E,136A,356A,4A1,4A,P29E,B22C,5,NA,NA
5.5.16,5,0,0,0,0,0,0,5D1,5D,B88A,B110E,12C1,12C,R85B,P71A,5,NA,NA
5.5.17,5,0,0,0,0,0,0,9A3,9A,R88G,P63J,9E1,9E,P29J,P29A,5,NA,NA
5.5.18,5,0,0,0,0,0,0,18B2,18B,P62H,P71A,7E1,7E,130C,129B,5,NA,NA
5.5.19,5,0,0,0,0,0,0,8B1,8B,P31M,P63A,20E2,20E,R88B,B86B,5,NA,NA
5.5.2,5,0,0,0,0,0,0,13B5,13B,P63B,Y123G,3D1,3D,P27D,B22C,5,NA,NA
5.5.3,5,0,0,0,0,0,0,7B1,7B,P64F,P29H,11D1,11D,140C,122C,5,NA,NA
5.5.4,5,0,0,0,0,0,0,2A5,2A,P64B,B88B,20A3,20A,P83B,P62I,5,NA,NA
5.5.5,5,0,0,0,0,0,0,12C1,12C,R85B,P71A,5D1,5D,B88A,B110E,5,NA,NA
5.5.6,5,0,0,0,0,0,0,1D1,1D,P31C,P63A,7E1,7E,130C,129B,5,NA,NA
5.5.7,5,0,0,0,0,0,0,16E1,16E,136A,356A,5D3,5D,B88A,B110E,5,NA,NA
5.5.8,5,1,1,1,9,7,0,10B1,10B,P38D,R81E,19D3,19D,B113A,R84A,5,173,223
5.5.9,5,0,0,0,0,0,0,18C3,18C,P64C,R83F,13E2,13E,R82K,Y123G,5,NA,NA
